ID	annotation	capital letters
GAMO_00000002	STAT1	STAT1
GAMO_00000030	unknown	UNKNOWN
GAMO_00000031	unknown	UNKNOWN
GAMO_00000032	NIPBL	NIPBL
GAMO_00000033	unknown	UNKNOWN
GAMO_00000034	Sft2d2	SFT2D2
GAMO_00000035	unknown	UNKNOWN
GAMO_00000036	F2	F2
GAMO_00000037	Fbxo3	FBXO3
GAMO_00000038	unknown	UNKNOWN
GAMO_00000039	CD59	CD59
GAMO_00000140	RAPH1	RAPH1
GAMO_00000141	unknown	UNKNOWN
GAMO_00000142	unknown	UNKNOWN
GAMO_00000143	spp2	SPP2
GAMO_00000144	ALG11	ALG11
GAMO_00000145	CPB2	CPB2
GAMO_00000146	unknown	UNKNOWN
GAMO_00000147	NIPBL	NIPBL
GAMO_00000148	unknown	UNKNOWN
GAMO_00000149	unknown	UNKNOWN
GAMO_00000151	rpl31	RPL31
GAMO_00000345	LANCL1	LANCL1
GAMO_00000997	gcg1	GCG1
GAMO_00001099	KLHL41	KLHL41
GAMO_00001140	PKP4	PKP4
GAMO_00001141	unknown	UNKNOWN
GAMO_00001142	unknown	UNKNOWN
GAMO_00001143	unknown	UNKNOWN
GAMO_00001144	Gm11992	GM11992
GAMO_00001145	FHL2	FHL2
GAMO_00001146	Dph3	DPH3
GAMO_00001147	unknown	UNKNOWN
GAMO_00001148	NCK2	NCK2
GAMO_00001149	Otos	OTOS
GAMO_00001405	Col1a2	COL1A2
GAMO_00001605	ZNF703	ZNF703
GAMO_00001625	TPM2	TPM2
GAMO_00001650	Map1b	MAP1B
GAMO_00001795	NSA2	NSA2
GAMO_00001965	unknown	UNKNOWN
GAMO_00002075	RAI14	RAI14
GAMO_00002280	SPAG8	SPAG8
GAMO_00002343	CCDC152	CCDC152
GAMO_00002344	GHR	GHR
GAMO_00002346	C6	C6
GAMO_00002355	unknown	UNKNOWN
GAMO_00002376	NEFM	NEFM
GAMO_00002378	PGAM2	PGAM2
GAMO_00002545	PDLIM5	PDLIM5
GAMO_00002624	Smyd1	SMYD1
GAMO_00002625	DHX32	DHX32
GAMO_00002788	nodal	NODAL
GAMO_00002792	NUP54	NUP54
GAMO_00002794	SCARB2	SCARB2
GAMO_00002832	ITGA1	ITGA1
GAMO_00002858	THBS4	THBS4
GAMO_00002873	mfhas1	MFHAS1
GAMO_00002895	ABRAXAS1	ABRAXAS1
GAMO_00002906	PBDC1	PBDC1
GAMO_00002975	ARRDC3	ARRDC3
GAMO_00002983	SEPT5	SEPT5
GAMO_00003030	NAP1L1	NAP1L1
GAMO_00003108	CPM	CPM
GAMO_00003289	chst11	CHST11
GAMO_00003333	SMO	SMO
GAMO_00003586	PARP12	PARP12
GAMO_00003746	NDUFA12	NDUFA12
GAMO_00004286	f2r	F2R
GAMO_00004370	fzd7-a	FZD7-A
GAMO_00004376	MAP3K2	MAP3K2
GAMO_00004735	filip1l	FILIP1L
GAMO_00004795	DDX3X	DDX3X
GAMO_00004798	DDX3X	DDX3X
GAMO_00004967	MYH4	MYH4
GAMO_00004977	unknown	UNKNOWN
GAMO_00005067	GABRG2	GABRG2
GAMO_00005128	dpysl3	DPYSL3
GAMO_00005188	aldoc	ALDOC
GAMO_00005195	HEATR6	HEATR6
GAMO_00005198	DDX52	DDX52
GAMO_00005235	ATP1B2	ATP1B2
GAMO_00005272	unknown	UNKNOWN
GAMO_00005273	unknown	UNKNOWN
GAMO_00005373	PYGM	PYGM
GAMO_00005424	RYR3	RYR3
GAMO_00005516	SAT1	SAT1
GAMO_00005523	liph	LIPH
GAMO_00005612	C7orf43	C7ORF43
GAMO_00005627	Rab34	RAB34
GAMO_00005701	unknown	UNKNOWN
GAMO_00005776	afap1l1	AFAP1L1
GAMO_00005846	NSG2	NSG2
GAMO_00005859	HPGD	HPGD
GAMO_00005860	HPGD	HPGD
GAMO_00005911	CDKN2AIPNL	CDKN2AIPNL
GAMO_00005951	PPDPF	PPDPF
GAMO_00006048	HSPB1	HSPB1
GAMO_00006099	CENPV	CENPV
GAMO_00006121	unknown	UNKNOWN
GAMO_00006280	STT3A	STT3A
GAMO_00006350	CKM	CKM
GAMO_00006360	unknown	UNKNOWN
GAMO_00006371	unknown	UNKNOWN
GAMO_00006381	JAM3	JAM3
GAMO_00006449	OPCML	OPCML
GAMO_00006544	Doc2b	DOC2B
GAMO_00006548	Doc2b	DOC2B
GAMO_00006649	NCAM1	NCAM1
GAMO_00006651	NCAM1	NCAM1
GAMO_00006880	ins	INS
GAMO_00007064	NHP2	NHP2
GAMO_00007074	Havcr1	HAVCR1
GAMO_00007115	Ca4	CA4
GAMO_00007158	YWHAG	YWHAG
GAMO_00007335	UFM1	UFM1
GAMO_00007448	ALOX5AP	ALOX5AP
GAMO_00007584	NOP16	NOP16
GAMO_00007607	MTMR2	MTMR2
GAMO_00007665	Scn4b	SCN4B
GAMO_00007718	PLS3	PLS3
GAMO_00007967	unknown	UNKNOWN
GAMO_00007991	PRDX5	PRDX5
GAMO_00008068	vamp2	VAMP2
GAMO_00008071	unknown	UNKNOWN
GAMO_00008073	Pcolce	PCOLCE
GAMO_00008076	Tmem88	TMEM88
GAMO_00008126	CLDN7	CLDN7
GAMO_00008131	NPM1	NPM1
GAMO_00008405	unknown	UNKNOWN
GAMO_00008408	MYLK	MYLK
GAMO_00008411	MYLK	MYLK
GAMO_00008459	SGCG	SGCG
GAMO_00008506	unknown	UNKNOWN
GAMO_00008621	ACSL3	ACSL3
GAMO_00008625	KCNE4	KCNE4
GAMO_00008686	Smtnl2	SMTNL2
GAMO_00008691	SMTNL2	SMTNL2
GAMO_00008727	TTN	TTN
GAMO_00008730	Ttn	TTN
GAMO_00008731	TTN	TTN
GAMO_00008732	TTN	TTN
GAMO_00008733	Ttn	TTN
GAMO_00008734	Ttn	TTN
GAMO_00008757	A1i3	A1I3
GAMO_00008768	TTN	TTN
GAMO_00008772	TTN	TTN
GAMO_00008774	Ttn	TTN
GAMO_00008776	GAP43	GAP43
GAMO_00008805	APOA1	APOA1
GAMO_00008813	TAGLN	TAGLN
GAMO_00008844	unknown	UNKNOWN
GAMO_00008845	ENDOD1	ENDOD1
GAMO_00008884	NOP53	NOP53
GAMO_00008932	RBP2	RBP2
GAMO_00009165	HMBS	HMBS
GAMO_00009205	Adamts15	ADAMTS15
GAMO_00009296	CTSC	CTSC
GAMO_00009418	Limbic	LIMBIC
GAMO_00009517	Scn2b	SCN2B
GAMO_00009526	BCHE	BCHE
GAMO_00009658	Pde9a	PDE9A
GAMO_00009712	unknown	UNKNOWN
GAMO_00009714	unknown	UNKNOWN
GAMO_00009755	tusc5	TUSC5
GAMO_00009908	B3GAT1	B3GAT1
GAMO_00009926	ANAPC15	ANAPC15
GAMO_00009935	Phox2a	PHOX2A
GAMO_00010249	ALCAM	ALCAM
GAMO_00010257	MAP6	MAP6
GAMO_00010311	YWHAG	YWHAG
GAMO_00010659	Myo7a	MYO7A
GAMO_00010705	foxa2	FOXA2
GAMO_00010720	AHNAK	AHNAK
GAMO_00010747	Ckm	CKM
GAMO_00010816	SRSF7	SRSF7
GAMO_00010818	HNRNPL	HNRNPL
GAMO_00010923	sst2	SST2
GAMO_00010949	CLDN3	CLDN3
GAMO_00011260	B2M	B2M
GAMO_00011735	clip3	CLIP3
GAMO_00011848	Rtn2	RTN2
GAMO_00012154	APOH	APOH
GAMO_00012172	P2RX3	P2RX3
GAMO_00012193	UPF0687	UPF0687
GAMO_00012299	Ank2	ANK2
GAMO_00012300	ANK2	ANK2
GAMO_00012325	CXCL8	CXCL8
GAMO_00012627	TMOD1	TMOD1
GAMO_00012677	MYOM2	MYOM2
GAMO_00012695	acta1	ACTA1
GAMO_00012702	CAPN9	CAPN9
GAMO_00012757	WDR83OS	WDR83OS
GAMO_00012788	MYOZ2	MYOZ2
GAMO_00012895	ADRA1D	ADRA1D
GAMO_00012932	UGT8	UGT8
GAMO_00012937	slc44a1	SLC44A1
GAMO_00012978	unknown	UNKNOWN
GAMO_00013003	Nptxr	NPTXR
GAMO_00013070	SOX10	SOX10
GAMO_00013124	ERP27	ERP27
GAMO_00013145	Exoc1	EXOC1
GAMO_00013159	LYG1	LYG1
GAMO_00013281	unknown	UNKNOWN
GAMO_00013285	unknown	UNKNOWN
GAMO_00013344	IL2RB/CSF2RB	IL2RB/CSF2RB
GAMO_00013353	ATP6V0E2	ATP6V0E2
GAMO_00013361	NKX2-5	NKX2-5
GAMO_00013368	MORN4	MORN4
GAMO_00013416	HERC3	HERC3
GAMO_00013418	HERC3	HERC3
GAMO_00013420	HERC3	HERC3
GAMO_00013421	HERC3	HERC3
GAMO_00013446	SH3GL2	SH3GL2
GAMO_00013518	CASP6	CASP6
GAMO_00013769	Uchl1	UCHL1
GAMO_00013785	rps3a	RPS3A
GAMO_00013791	cpe	CPE
GAMO_00013834	SORBS2	SORBS2
GAMO_00013839	PDLIM3	PDLIM3
GAMO_00013844	FGG	FGG
GAMO_00013916	ACTB	ACTB
GAMO_00014056	P4HB	P4HB
GAMO_00014102	HEBP2	HEBP2
GAMO_00014104	HEBP2	HEBP2
GAMO_00014204	TECR	TECR
GAMO_00014217	Ttbk1	TTBK1
GAMO_00014378	unknown	UNKNOWN
GAMO_00014566	epd	EPD
GAMO_00014625	cxcl12	CXCL12
GAMO_00014647	Srl	SRL
GAMO_00014758	CPLX1	CPLX1
GAMO_00014821	unknown	UNKNOWN
GAMO_00015133	C4orf33	C4ORF33
GAMO_00015156	chrna3	CHRNA3
GAMO_00015274	RGL1	RGL1
GAMO_00015617	ATP5MD	ATP5MD
GAMO_00015774	COX5A	COX5A
GAMO_00015884	rhcg2	RHCG2
GAMO_00015932	GNAO1	GNAO1
GAMO_00015992	unknown	UNKNOWN
GAMO_00016023	GATM	GATM
GAMO_00016153	SLC6A2	SLC6A2
GAMO_00016155	SLC6A2	SLC6A2
GAMO_00016377	GPI	GPI
GAMO_00016631	foxf1	FOXF1
GAMO_00016745	CTRA	CTRA
GAMO_00016746	CTRB1	CTRB1
GAMO_00016747	CTRB1	CTRB1
GAMO_00016768	GLO1	GLO1
GAMO_00016835	Gas6	GAS6
GAMO_00016877	unknown	UNKNOWN
GAMO_00016878	Map1b	MAP1B
GAMO_00016908	GPN1	GPN1
GAMO_00016922	Emilin1	EMILIN1
GAMO_00016926	SNRNP70	SNRNP70
GAMO_00017101	TPM1	TPM1
GAMO_00017157	Sema4b	SEMA4B
GAMO_00017247	RBPMS	RBPMS
GAMO_00017259	SLC22A31	SLC22A31
GAMO_00017260	DPEP1	DPEP1
GAMO_00017302	unknown	UNKNOWN
GAMO_00017341	CDH15	CDH15
GAMO_00017370	unknown	UNKNOWN
GAMO_00017382	RRAD	RRAD
GAMO_00017385	ATP5MC3	ATP5MC3
GAMO_00017588	GLDN	GLDN
GAMO_00017602	TMEM178B	TMEM178B
GAMO_00017606	MYBPC3	MYBPC3
GAMO_00017638	PLEKHA7	PLEKHA7
GAMO_00017652	COPB1	COPB1
GAMO_00017653	RRAS2	RRAS2
GAMO_00017704	DKK3	DKK3
GAMO_00017785	TNNT3	TNNT3
GAMO_00017852	MYOM2	MYOM2
GAMO_00017938	PSMB1	PSMB1
GAMO_00017939	PHF10	PHF10
GAMO_00017944	acta1	ACTA1
GAMO_00018028	TP53INP1	TP53INP1
GAMO_00018122	Dok4	DOK4
GAMO_00018207	Cemip	CEMIP
GAMO_00018267	ALDH1A3	ALDH1A3
GAMO_00018608	Islr2	ISLR2
GAMO_00018937	Lipc	LIPC
GAMO_00019367	Stmn2	STMN2
GAMO_00019438	unknown	UNKNOWN
GAMO_00019490	NACAD	NACAD
GAMO_00019512	RPS27L	RPS27L
GAMO_00019539	S100a1	S100A1
GAMO_00019614	ECM1	ECM1
GAMO_00019681	GEM	GEM
GAMO_00019752	VAMP1	VAMP1
GAMO_00019755	PLEKHG6	PLEKHG6
GAMO_00019763	GAPDH	GAPDH
GAMO_00019779	unknown	UNKNOWN
GAMO_00019782	Fam131b	FAM131B
GAMO_00019831	CCDC106	CCDC106
GAMO_00019832	U2AF2	U2AF2
